N      sat    RMSREF        RMSREL        MEDREL        P95REL        note
1      0      8.355100e-02  7.986244e-06  5.707139e-06  1.551628e-05  cells=1024
2      0      1.146814e-01  8.779732e-06  5.863331e-06  1.753924e-05  cells=1024
5      0      1.613039e-01  1.213689e-05  8.221767e-06  2.318723e-05  cells=1024
10     0      1.333072e-01  2.182601e-05  1.475504e-05  4.296566e-05  cells=1024
20     0      1.017481e-01  3.757314e-05  2.504321e-05  7.293287e-05  cells=1024
50     0      6.503359e-02  6.354181e-05  4.433670e-05  1.216681e-04  cells=1024
100    0      6.115782e-02  7.469352e-05  5.080122e-05  1.442414e-04  cells=1024
200    0      6.060039e-02  1.101092e-04  7.020222e-05  2.199506e-04  cells=1024
